pdf_file,causal_sentence
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"in an attempt to reduce the ostracism experience to a level that would no longer be aversive, we (in study 1) convinced participants that they were playing cyberball against a computer, yet still found comparable negative impact compared to when the participants thought they were being ostracized by real others."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"studies have shown that people subjected to ostracism for a short period of time report worsened mood, anger, and lower levels of four state measures of needs proposed by williams (1997, 2001) to be threatened by ostracism: belonging, control, self-esteem, and meaningful existence."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"recently, williams, cheung, and choi (2000) reported that individuals who played a virtual ball-toss game on the computer, ostensibly with others who were logged on to the website, also reported worsened mood and lower need levels."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"additionally, if given the opportunity to make spatial judgments with a new group of individuals, ostracized participants were more likely to conform to this groups unanimously incorrect answers."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"doi 10 1016 j j esp 2003 11 006 journal of experimental social psychology 40 (2004) 560-567 journal of experimental social psychology www else vier com locate j esp would have no effects, and then to add on necessary factors until ostracism had a negative impact on the four needs."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if the identity of the source is an important component in determining the aversiveness of ostracism, then targets who are ostracized by two human players should report lower levels of primary needs than targets who are ostracized by two computer generated players or targets who are included in the game."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"they were told that performance in the game was unimportant, and instead, the game was merely a means for them to engage their mental visualization skills."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if assigned to the ostracism condition, participants received the ball twice at the beginning of the game, and for the remaining time, never received the ball again."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,degrees of freedom vary slightly in the analyses here and in study 2 because of occasional missing data.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"discussion in study 1, we found that compared to included participants, ostracized participants reported lower levels on the state measures of the four needs."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"moreover, ostracized participants also reported feeling angrier and enjoyed the game less than included participants."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"that is, while some have reported worsened mood following ostracism (williams, 2001) or rejection (leary, koch, & hechenbleiker, 2001), others have failed to see an effect on mood following social exclusion (twenge, baumeister, tice, & stucke, 2001; twenge, catanese, & baumeister, 2002)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"although the ostracism manipulation adversely affected participants in accordance with previous ostracism research, whether participants were ostracized by humans or the computer had no effect on their self-reported need levels, or enjoyment of the game."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"oddly enough, the only impact that the human/computer manipulation had was the unexpected interaction showing that being ostracized by a computer made participants angrier than being ostracized by humans."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,based on comments made during the interviews it would seem that this result was due to a violation of the basic assumption that the computer is a tool to serve humans and hence should not deliberately act to distress or alienate them.
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"journal of experimental social psychology 40 (2004) 560-567 563 system that is quick to perceive social exclusion and feel the associated pain, so that the individual is motivated to make changes that will eliminate the ostracism."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"although we assessed their perceptions in a post experimental interview, it is possible that experimenter bias may have influenced our perceptions of their answers."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"thus, although we think this is rather implausible, it is possible that participants simply did not attend to our instruction about who they were playing the ball game with, and that is why we found no main effects or interactions with the human/computer manipulation on the self-reported needs."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"that we found one interaction on the measure of anger (in an unexpected direction, we might add), argues against this criticism that participants were not attentive to the human/computer manipulation; however, it is possible that this interaction was spurious."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"it may well be that to feel threats to the four needs an individual must attribute some sort of sinister intent on the part of the sources (kramer, 1994)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if the needs that are threatened by ostracism require some higher level interpretation of the ostracism event, then we would expect this manipulation to eliminate the negative impact when participants viewed the ostracism behavior of the sources as outside their control."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if, however, the fundamental needs are affected without cognitive intervention, then manipulations aimed at reducing sinister attributions may have no impact at all."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if ostracized individuals know that the reason they are not being thrown the ball has nothing to do with them personally, but rather the other participants (be they human or computer) are simply following a script, will they still report reduced levels of the four needs?"
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"if so, we believe this suggests that it is the perception of ones own ostracism, not ones understanding of it, that is immediately threatening."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"because there was no computer malfunction that could easily account for these incorrect reports, all participants were retained in the analyses."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"specifically, participants who were ostracized reported feeling angrier, more hurt, and that they enjoyed the game less than participants who were included in the game, (smallest f was for anger, f ð1; 69þ ¼ 8:3, p ¼ :005)."
/content/drive/MyDrive/Datasets/Third_dataset/1-s2.0-S0022103103001823-main.pdf,"participants who played the computer, however, reported more hurt feelings simply when they were ostracized, regardless of whether or not the computer game had been scripted."
